Time,1,2,3,4,5
15:47:22,23,0,0,0,0
15:47:54,29,0,0,0,0
15:48:25,38,1,0,0,0
15:49:00,44,2,0,0,0
15:49:34,52,2,0,0,0
15:50:04,62,2,0,0,0
15:50:42,76,2,0,0,0
15:51:13,86,2,0,1,0
15:51:44,100,2,0,1,0
15:52:16,109,2,0,1,0
15:52:47,117,3,0,1,0
15:53:19,123,4,0,1,0
15:53:54,131,4,0,1,0
15:54:25,149,4,0,1,0
15:54:56,158,5,1,1,0
15:55:27,170,5,1,1,0
15:55:58,180,5,1,1,0
15:56:29,184,5,1,2,0
15:57:00,195,5,1,2,0
15:57:32,209,8,2,2,0
15:58:03,215,9,2,2,0
15:58:35,223,9,2,2,0
15:59:06,235,9,2,3,0
15:59:37,241,9,2,3,0
16:00:08,249,9,2,3,0
16:00:38,259,10,2,3,0
16:01:09,266,11,2,4,0
16:01:40,273,14,2,4,0
16:02:12,279,15,2,4,0
16:02:43,287,17,2,4,0
16:03:14,297,21,2,4,0
16:03:44,302,22,2,4,0
16:04:15,306,25,2,4,0
16:04:46,309,27,2,4,0
16:05:17,313,29,2,4,0
16:05:47,316,33,3,4,0
16:06:18,318,34,3,4,1
16:06:49,322,34,3,4,1
16:07:20,327,35,4,4,1
16:07:51,331,37,4,4,1
16:08:22,333,38,4,4,1
16:08:53,339,39,5,4,1
16:09:24,342,41,5,4,1
16:09:54,344,44,6,4,1
16:10:26,346,47,6,4,1
16:10:56,351,50,6,4,1
16:11:27,353,52,6,4,1
16:11:59,355,55,6,4,1
16:12:29,356,61,7,4,1
16:13:00,359,65,7,4,1
16:13:31,361,70,7,4,1
16:14:02,366,71,7,4,1
16:14:33,368,72,7,4,1
16:15:04,371,74,7,5,1
16:15:35,374,77,7,5,1
16:16:05,376,80,8,6,1
16:16:36,377,80,10,6,1
16:17:07,382,82,10,6,1
16:17:37,384,82,10,6,1
16:18:08,386,85,10,6,1
16:18:40,387,88,10,6,1
16:19:11,388,88,11,6,1
16:19:42,391,89,11,6,1
16:20:13,391,93,11,6,1
16:20:44,392,96,11,7,1
16:21:15,393,98,11,7,1
16:21:46,394,103,13,7,1
16:22:17,395,106,13,7,1
16:22:48,396,108,13,7,1
16:23:19,397,109,13,7,1
16:23:49,398,110,14,7,1
16:24:20,400,117,14,7,1
16:24:51,400,119,14,7,1
16:25:22,401,122,15,7,1
16:25:53,401,126,16,7,1
16:26:23,401,129,17,7,1
16:26:54,401,131,17,7,1
16:27:26,403,135,17,7,1
16:27:57,403,140,17,7,1
16:28:28,403,144,17,7,1
16:28:59,403,147,17,7,1
16:29:30,403,149,17,7,1
16:30:01,405,151,17,7,1
16:30:33,408,152,19,7,1
16:31:04,408,155,20,7,1
16:31:34,409,161,21,7,1
16:32:06,409,162,22,7,1
16:32:37,410,166,23,7,1
16:33:08,410,169,24,7,1
16:33:39,411,172,25,7,1
16:34:09,411,173,26,7,2
16:34:40,412,175,28,9,2
16:35:11,412,178,28,9,2
16:35:42,414,179,28,9,2
16:36:12,415,182,28,10,2
16:36:44,416,184,30,10,2
16:37:15,416,187,32,10,2
16:37:45,416,187,32,10,2
16:38:16,416,188,32,10,2
16:38:48,416,191,33,11,2
16:39:18,417,192,33,11,2
16:39:50,418,195,35,11,2
16:40:21,419,197,36,11,2
16:40:53,419,199,36,11,2
16:41:24,419,199,37,11,2
16:41:55,419,199,37,12,2
16:42:25,419,201,37,13,2
16:42:56,419,203,39,14,3
16:43:27,420,205,43,14,3
16:43:58,420,209,43,14,3
16:44:29,420,210,43,14,3
16:45:00,420,210,44,14,3
16:45:30,420,213,45,14,3
16:46:02,420,216,46,14,3
16:46:32,420,216,46,15,3
16:47:03,420,219,46,15,3
16:47:34,420,221,46,15,3
16:48:05,421,222,46,15,3
16:48:36,423,225,49,16,3
16:49:07,424,229,50,16,4
16:49:37,424,230,50,16,4
16:50:08,425,231,50,16,4
16:50:39,426,233,50,16,4
16:51:10,426,234,50,16,4
16:51:41,426,236,51,16,4
16:52:12,426,237,51,16,4
16:52:42,426,238,52,16,4
16:53:13,426,238,53,16,4
16:53:44,426,241,54,16,4
16:54:16,426,246,54,16,4
16:54:46,426,247,54,16,4
16:55:19,427,249,56,17,4
16:55:50,428,253,56,17,4
16:56:21,427,256,57,17,4
16:56:52,429,261,57,17,4
16:57:23,429,263,58,17,4
